Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,인공지능학부 교과과정 개편으로 인한 대체과목 지정 목록,,,,,,,,
,,,,,,,,,
,교과목코드,교과목명,학점,개설학과,개설학년,개설학기,이수구분,구분,비고
,2006634,인공지능개론,3,인공지능학부,1,2,전공기초,전필,
,2006634,인공지능개론,3,인공지능학부,1,1,전공기초,전필,변경 (학년/학기)
,2006636,빅데이터 처리론,3,인공지능학부,2,1,전공기초,전필,폐지
,2007259,파이썬 프로그래밍 ,3(4),인공지능학부,1,2,전공기초,전필,신설 (빅데이터처리론 대체)
,2006637,컴퓨터 알고리즘 ,3,인공지능학부,2,2,전공기초,전필,
,2006637,컴퓨터 알고리즘 ,3,인공지능학부,2,1,전공기초,전필,변경 (학년/학기)
,2006639,컴퓨터통신,3,인공지능학부,2,2,전공기초,전필,
,2006639,컴퓨터통신,3,인공지능학부,3,2,전공심화,전선,"변경 (학년/학기, 이수구분)"
,2008721,클라우딩컴퓨팅,3,인공지능학부,3,2,전공심화,전선,"교과목 명 변경 (학년/학기, 이수구분)"
