교양교과목 편성 현황(2025학년도 1학기 기준),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2025학년도 교육과정(입학자),,,,,,
연번,대학명(부서명),편성신청학과(부서명),교과목코드,교과목명,편성학기,편성신청학과(부서명),학점구조,평가방법,원격강의,SW지정,이수구분,교육과정구분,교양영역구분,핵심역량,"2011~2016학년도
교육과정(입학자)","2017~2020학년도
교육과정(입학자)","2021~2024학년도
교육과정(입학자)",비고
212,간호보건대학,의료정보학과,2002767,생활속의건강관리,2015-2,의료정보학과,3-3-0,,Y,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016자연과학영역,핵심교양,소양교양선택,
213,간호보건대학,의료정보학과,2000353,생활과건강,2013-1,의료정보학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),가치탐구역량,핵심교양-간보대,핵심교양,소양교양선택,
214,간호보건대학,의료정보학과,2004724,디지털헬스케어,2018-1,의료정보학과,3-3-0,,,,교양선택,기초교양,기초학문(간호보건대학),자기계발역량,2016외국어영역,핵심교양,소양교양선택,
215,예술대학,무용학과,2007749,나를발견하는예술심리학,2023-1,무용학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016문화및예체능영역,핵심교양,균형교양 제1영역,
216,예술대학,가구리빙디자인학과,2003967,생활공간과인테리어,2017-2,가구리빙디자인학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),가치탐구역량,2016문화및예체능영역,학문기초교양,균형교양 제4영역,
217,예술대학,가구리빙디자인학과,2000346,디자인과문화,2012-1,가구리빙디자인학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),가치탐구역량,핵심교양-예술대,핵심교양,균형교양 제4영역,
218,예술대학,가구리빙디자인학과,2004715,20세기문화와미래전략,2018-1,가구리빙디자인학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,핵심교양-예술대,핵심교양,균형교양 제4영역,
219,예술대학,주얼리금속디자인학과,2003968,예술·공예교육론,2017-1,주얼리금속디자인학과,3-3-0,,,,교양선택,기초교양,기초학문(예술대학),자기계발역량,2016문화및예체능영역,학문기초교양,기초교양선택(예술대학),
220,예술대학,주얼리금속디자인학과,2006882,주얼리와문화콘텐츠,2021-2,주얼리금속디자인학과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016문화및예체능영역,핵심교양,균형교양 제4영역,
221,예술대학,주얼리금속디자인학과,2003969,예술·공예교육프로그램개발,2017-2,주얼리금속디자인학과,3-3-0,,,,교양선택,기초교양,기초학문(예술대학),공동체역량,2016문화및예체능영역,학문기초교양,기초교양선택(예술대학),
