교양교과목 편성 현황(2025학년도 1학기 기준),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2025학년도 교육과정(입학자),,,,,,
연번,대학명(부서명),편성신청학과(부서명),교과목코드,교과목명,편성학기,편성신청학과(부서명),학점구조,평가방법,원격강의,SW지정,이수구분,교육과정구분,교양영역구분,핵심역량,"2011~2016학년도
교육과정(입학자)","2017~2020학년도
교육과정(입학자)","2021~2024학년도
교육과정(입학자)",비고
297,천안공과대학,소프트웨어학과,2009116,미분과적분,2025-1,소프트웨어학과,2-2-0,,,,교양선택,기초교양,기초학문(천안공과대학),자기계발역량,2016자연과학영역,학문기초교양,기초교양선택(천안공과대학),
298,천안공과대학,기계자동차공학부㈜,2009117,차세대디스플레이이야기,2025-1,기계자동차공학부㈜,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,일반교양,균형교양 제3영역,
299,천안공과대학,기계자동차공학부㈜,2009118,자율이동로봇기술의 이해,2025-1,기계자동차공학부㈜,2-2-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,일반교양,균형교양 제3영역,
300,천안공과대학,화학공학부,2009119,화학공학데이터분석및AI기초,2025-1,화학공학부,3-0-3,,,Y,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제3영역,
301,본부소속,교양학부,2009100,과학의철학적이해,2025-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
302,본부소속,교양학부,2009101,논리학의기초,2025-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
303,본부소속,교양학부,2009099,논리학의이해,2025-1,교양학부,3-3-0,,,,교양선택,기초교양,기초학문(산업과학대학),자기계발역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
304,본부소속,교양학부,2009102,다큐로보는한국사회,2025-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),의사소통역량,2016인문사회과학영역,일반교양,균형교양 제5영역,
305,사범대학,윤리교육과,2009109,State and Society in China,2025.1,윤리교육과,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제6영역,
306,본부소속,국제학부,2009103,R통계프로그램을활용한경영·경제분석,2025-1,국제학부,3-1-2,,,Y,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,학문기초교양,균형교양 제3영역,
307,본부소속,국제학부,2009104,금융테이터수집과분석을위한Python의기초,2025-1,국제학부,3-1-2,,,Y,교양선택,균형교양,B(자연생명과학기술),자기계발역량,2016자연과학영역,일반교양,균형교약 제3영역,
308,사범대학,체육교육과,2009110,배구,2025-1,체육교육과,2-1-2,,,,교양선택,균형교양,C(외국어예술건강진로),공동체역량,2016문화및예체능영역,일반교양,소양교양선택,
309,사범대학,화학교육과,2009108,화학과현대생활,2025-1,화학교육과,3-3-0,,,,교양선택,기초교양,기초학문(사범대학),가치탐구역량,2016자연과학영역,학문기초교양,기초교양선택(사범대학),
310,산업과학대학,산업유통학과,2009120,경영학의이해,2025-1,산업유통학과,3-3-0,,,,교양선택,기초교양,기초학문(산업과학대학),가치탐구역량,2016인문사회과학영역,학문기초교양,기초교양선택(산업과학대학),
311,산업과학대학,지역사회개발학과,2009121,경제학의이해,2025-1,지역사회개발학과,3-3-0,,,,교양선택,기초교양,기초학문(산업과학대학),가치탐구역량,2016인문사회과학영역,학문기초교양,기초교양선택(산업과학대학),
312,산업과학대학,산림과학과,2009122,한반도기후위기와환경변화,2025-1,산림과학과,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,일반교양,균형교양 제2영역,
313,인문사회과학대학,관광&영어통역융복합학과,2009112,TEDTalks으로시작하는영어발표,2025-1,관광&영어통역융복합학과,3-3-0,,,,교양선택,기초교양,기초학문(인문사회과학대학),의사소통역량,2016외국어영역,학문기초교양,기초교양선택(인문사회과학대학),
314,인문사회과학대학,"경제통상학부
국제통상학전공",2009114,세계경제의이해,2025-1,"경제통상학부
국제통상학전공",3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,일반교양,균형교양 제5영역,
315,인문사회과학대학,"경제통상학부
국제통상학전공",2009113,시적표현과시쓰기,2025-1,"경제통상학부
국제통상학전공",3-3-0,,,,교양선택,기초교양,기초학문(인문사회과학대학),가치탐구역량,2016인문사회과학영역,학문기초교양,기초교양선택(인문사회과학대학),
316,인문사회과학대학,영어영문학과,2009115,오피스핵심영어119,2025-1,영어영문학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역,일반교양,소양교양선택,
