Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,2025학년도 2학기 부전공 이수 예정자 선발을 위한 여석 현황,,,,,,,
,,,,,,,,
,"※ 학년기준: 2025학년도 2학기
※ 부전공으로는 연계전공 이수가 불가하며, 사범대학 및 교직과정이 설치된 학과의 교원자격증도 취득 불가
※ 연계전공은 붉은색음영으로 표시
※ 부전공 미선발 학과: 문헌정보교육과, 유아교육과, 특수교육과",,,,,,,
,,,,,,25-2학기 여석,,
,전공대학,전 공,배정정원(A),,,여석현황(25-1학기 여석-25-1학기 선발+25-1학기 포기),,
,,,2학년,3학년,4학년,2학년,3학년,4학년
,,만화애니메이션학부 카툰코믹스전공,18,18,18,18,18,18
,,무용학과,22,22,22,22,22,22
,,영상학과,31,31,31,31,31,30
,,조형디자인학부 세라믹디자인전공(전),0,0,0,0,0,0
,,조형디자인학부 주얼리디자인전공(전),0,0,0,0,0,0
,,조형디자인학부 퍼니처디자인전공(전),0,0,0,0,0,0
,,가구리빙디자인학과,17,17,17,17,17,17
,,도자문화융합디자인학과(세라믹디자인학과),17,17,17,17,17,17
,,주얼리금속디자인학과,17,17,17,17,17,17
,소                         계,,170,170,170,170,168,167
,본부소속,국제학부,26,26,26,26,26,26
,,인공지능학부 ,25,25,25,25,25,25
,소                         계,,51,51,51,51,51,51
,합계,,2531,2531,2600,2522,2491,2456
